1001,1439048576,9781439048573,,,,Instructor solution book
1002,0195117719,,,,,
1003,449906973,,,,,
1004,,9780195338836,,,,
1005,0471170550,,,,,
1006,,9780071543521,,,,
1007,1477508996,9781477508992,,,,
1008,0132139316,9780132139311,,,,
1009,0071393072,,,,,two copies
1010,0471138207,,,,,
1011,0136511759,,,,,
1012,,9780521864701,,,,two copies
1013,0070595003,9780070595002,,,,four copies
1014,0879015691,,,,,
1015,0136672477,,,,,
1016,0201096897,,,,,
1017,0840319924,,,,,
1018,0070459215,,,,,
1019,0130255386,,,,,
1020,0878915079,,,,,
1021,0030164877,,,,,
1022,0135157331,9780135157336,,,,
1023,0471232319,,,,,
1024,1932613277,9781932613278,,,,two copies
1025,0201474735,,,,,
1026,0596000464,,,,,
1027,,9788131200896,,,,
1028,1591260663,9781591260660,,,,
1029,,9781934891001,,,,
1030,0878915176,,,,,
1031,,9780974547046,,,,
1032,0201163500,,,,,
1033,,9780072866117,,,,
1034,,9780195371611,,,,
1035,0536974160,,,,,three copies
1036,0201128195,,,,,
1037,,9780131989269,,,,
1038,0201566117,,,,,
1039,0195108426,,,,,two copies
1040,0471035688,,,,,
1041,0471551538,,,,,
1042,,9780470601877,,,,
1043,,9781592575152,,,,
1044,0812091388,,,,,
1045,0030546745,,,,,
1046,0534490719,,,,,instructor edition book
1047,0534490727,,,,,
1048,,9780534998523,,,,solution manual
1049,0877799067,9780877799061,,,,
1050,7506228769,,,,,
1051,0886852129,,,,,
1052,1400054745,,,,,
1053,0132270285,9780132270281,,,,
1054,0131416804,,,,,
1055,0072226013,,,,,
1056,441010201x,,,,,
1057,4410105329,,,,,
1058,4410105426,,,,,
1059,,9780763747626,,,,
1060,0314154388,,,,,
1061,,9780194316651,,,,
1062,0131103628,,,,,
1063,1565922352,,,,,
1064,8120305965,,,,,
1065,0072440392,,,,,
1066,0789734044,,,,,
1067,0132122715,9780132122719,,,,
1068,013490012x,,,,,
1069,0471839442,,,,,
1070,,9780136053033,,,,
1071,,9780138147570,,,,
1072,013919424x,,,,,
1073,,9780071287814,,,,
1074,,9780073047027,,,,
1075,1565922840,,,,,
1076,0071489916,9780072263503,,,,
1077,0139773983,,,,,
1078,0716782618,,,,,
1079,1565921399,,,,,
1080,0471190462,,,,,
1081,0312002750,,,,,
1082,0873529863,,,,,
1083,0312133154,,,,,
1084,,9780312436131,,,,
1085,0486268780,,,,,
1086,044056428x,,,,,
1087,1557987912,,,,,
1088,,9780618376513,,,,
1089,0534548563,,,,,
1090,,9788131201916,,,,
1091,076790818x,,,,,
1092,,9788175968110,,,,
1093,0130141585,,,,,
1094,0030968003,,,,,
1095,0131377108,9780131377103,,,,
1096,,9780697215932,,,,
1097,0534209343,,,,,
1098,0395266378,,,,,
1099,,9780821807491,,,,
1100,,,671203487,,,
1101,0131456792,,,,,
1102,047143339x,,,,,
1103,0070382034,,,,,
1104,,9780321421326,,,,
1105,0878915133,,,,,
1106,0130113018,,,,,
1107,032165692x,9780321656926,,,,solutions manual
1108,1429217553,9781429217552,,,,two copies
1109,,9780195169249,,,,
1110,0195112040,,,,,
1111,1576450066,,,,,
1112,1576450147,,,,,
1113,032122647x,,,,,solutions manual
1114,,9788126515196,,,,
1115,,9781402211867,,,,
1116,,9781121978317,,,,
1117,,9788126512652,,,,
1118,0130851515,,,,,
1119,0130811378,,,,,
1120,0495189731,9780495189732,,,,
1121,,9780716706175,,,,twp copies
1122,0534357660,,,,,two copies
1123,0314027793,,,,,
1124,0072904437,,,,,
1125,072160045x,,,,,
1126,,9780716762133,,,,
1127,0486284999,,,,,
1128,,9780674061835,,,,
1129,1878067400,,,,,
1130,0971880107,,,,,
1131,0811827917,,,,,
1132,0669178594,,,,,
1133,,9780316017923,,,,
1134,0679729526,,,,,
1135,,9780060837563,,,,
1136,0316181152,,,,,
1137,,9781400052172,,,,
1138,0425180964,,,,,
1139,0486277836,,,,,
1140,0486270629,,,,,
1141,,9781847670946,,,,
1142,0192833553,,,,,
1143,0553346687,,,,,
1144,,9780521547246,,,,
1145,0679738118,,,,,
1146,0226307786,,,,,
1147,,9780226307848,,,,
1148,,9780130947864,,,,
1149,0826317243,9780826317247,,,,
1150,,9789812616500,,,,
1151,0449906973,,,,,
1152,,9781594630187,,,,
1153,,9780316831307,,,,
1154,,9780029221303,,,,
1155,,9780321427380,,,,
1156,8172454317,,,,,
1157,8176810592,,,,,
1158,,9780073386157,,,,
1159,,9780073386164,,,,
1160,1567312667,,,,,
1161,0415911621,,,,,
1162,0345418913,,,,,
1163,0809259087,,,,,
1164,0394759753,,,,,
1165,0375763368,,,,,
1166,0375753990,,,,,
1167,0446394696,,,,,
1168,0976570904,9780976570905,,,,
1169,,,,Fiber Optics,Educational Systems,
1170,1111724520,9781111724528,,,,
1171,,,,Math 234: Third Semester Calculus,,
1172,,,,The Diversity of Life,Edward O. Wilson,
1173,,,,Modern Advanced Mathematics,Arthur W. Weeks,
1174,,,,Fundamentals of Engineering (FE) Reference Handbook,NCEES,
1175,,,,An Introduction to Information Theory,Fazlollah M. Reza,
1176,,,,Introductino to Statistics for Business Decisions ,Robert Schlaifer,
1177,,,,Image Processing Toolbox,Clay M. Thompson,
1178,,,,Operating Systems,Remzi H. ArpaciDusseeau,
1179,,,,Understanding Telephone Electronics,RadioShack,
1180,,,,"Lines, Waves, and Antennas",Robert Grover Brown,
1181,,,,"Soft Switching Converters: Topologies, Design, and Control",University of WisconsinMadison,
1182,,,,Problems for Introductory University Chemistry,James N. Butler,
